_id,action,actor,actorEmail,actorRole,targetType,targetId,ipPrefix,userAgent,requestId,outcome,createdAt,__v,metadata.reason,metadata.attempts,metadata.lockedMinutes,metadata.family,metadata.fileName,metadata.folder,metadata.size,metadata.count,metadata.filtered,metadata.label,metadata.slug,metadata.status,metadata.revision,metadata.email,metadata.duplicatedFrom,metadata.jobSync,metadata.inserted,metadata.fetched,metadata.from,metadata.to,metadata.archived
6a605863928a2013ef5ee4a8,auth.login.success,6a60580dc96e79d1ca43d058,vishal@careerveda.in,super-admin,,,127.0.x.x,curl/8.18.0,9c439de5-0654-4c4a-a6ec-317008e88182,success,2026-07-22T05:42:59.666Z,0,,,,,,,,,,,,,,,,,,,,,
6a605864928a2013ef5ee4ae,auth.login.failed,6a60580dc96e79d1ca43d058,vishal@careerveda.in,super-admin,,,127.0.x.x,curl/8.18.0,68b60509-a705-4093-8e2f-24ee663bcbfb,failure,2026-07-22T05:43:00.938Z,0,bad-password,1,,,,,,,,,,,,,,,,,,,
6a605866928a2013ef5ee4b6,auth.token.refreshed,6a60580dc96e79d1ca43d058,vishal@careerveda.in,super-admin,,,127.0.x.x,curl/8.18.0,1221d92a-e9fb-4c21-ba61-bb21a181b914,success,2026-07-22T05:43:02.839Z,0,,,,,,,,,,,,,,,,,,,,,
6a605867928a2013ef5ee4bb,auth.token.reuse-detected,6a60580dc96e79d1ca43d058,vishal@careerveda.in,super-admin,,,127.0.x.x,curl/8.18.0,c39a2245-3240-446c-8c19-224c4e137902,failure,2026-07-22T05:43:03.313Z,0,,,,917dc483-d0bb-4bb6-b725-b21505145317,,,,,,,,,,,,,,,,,
6a6066ee2c72e448bbda149a,auth.login.success,6a60580dc96e79d1ca43d058,vishal@careerveda.in,super-admin,,,127.0.x.x,curl/8.18.0,280716e8-8003-4af5-8319-65404afaf5a6,success,2026-07-22T06:45:02.433Z,0,,,,,,,,,,,,,,,,,,,,,
6a60672602c5c687dd02bab8,auth.login.success,6a60580dc96e79d1ca43d058,vishal@careerveda.in,super-admin,,,127.0.x.x,curl/8.18.0,e1a3ce51-b188-4ed2-8768-1aeb4630ef32,success,2026-07-22T06:45:58.515Z,0,,,,,,,,,,,,,,,,,,,,,
6a606748aa5168d923ec1fcf,auth.login.success,6a60580dc96e79d1ca43d058,vishal@careerveda.in,super-admin,,,127.0.x.x,curl/8.18.0,19b6b82a-0da1-446a-9133-40d98a3e49fa,success,2026-07-22T06:46:32.956Z,0,,,,,,,,,,,,,,,,,,,,,
6a606797ca9e81504449e193,auth.login.success,6a60580dc96e79d1ca43d058,vishal@careerveda.in,super-admin,,,127.0.x.x,curl/8.18.0,ae6b59fa-1c5f-49a3-94fb-b1e12c0c93a4,success,2026-07-22T06:47:51.646Z,0,,,,,,,,,,,,,,,,,,,,,
6a6067cbca9e81504449e1a0,auth.login.success,6a60580dc96e79d1ca43d058,vishal@careerveda.in,super-admin,,,127.0.x.x,curl/8.18.0,9115497c-f7ac-487f-8c36-5576cbe280ac,success,2026-07-22T06:48:43.884Z,0,,,,,,,,,,,,,,,,,,,,,
6a6067ceca9e81504449e1aa,media.uploaded,6a60580dc96e79d1ca43d058,vishal@careerveda.in,super-admin,media,6a6067ceca9e81504449e1a8,127.0.x.x,curl/8.18.0,341c91fe-7d78-4779-b751-df56815fc11c,success,2026-07-22T06:48:46.125Z,0,,,,,pixel-89109f82.png,/careerveda/programs,73,,,,,,,,,,,,,,
6a6067e7ca9e81504449e1b3,auth.login.success,6a60580dc96e79d1ca43d058,vishal@careerveda.in,super-admin,,,127.0.x.x,curl/8.18.0,f5764962-599b-44f2-bb85-951edca25d8e,success,2026-07-22T06:49:11.729Z,0,,,,,,,,,,,,,,,,,,,,,
6a6067ebca9e81504449e1d0,lead.exported,6a60580dc96e79d1ca43d058,vishal@careerveda.in,super-admin,lead,,127.0.x.x,curl/8.18.0,b0ec28b7-3c0b-4392-bf1e-a54ce8e5299a,success,2026-07-22T06:49:15.318Z,0,,,,,,,,4,true,,,,,,,,,,,,
6a60a192d5bd876677e431d4,auth.login.success,6a60a17c20a2dec57e15dec5,admin@careerveda.com,super-admin,,,127.0.x.x,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",8b1d7634-9501-423c-81e6-c8cc4f156259,success,2026-07-22T10:55:14.563Z,0,,,,,,,,,,,,,,,,,,,,,
6a60a385d5bd876677e4327d,auth.login.success,6a60a17c20a2dec57e15dec5,admin@careerveda.com,super-admin,,,127.0.x.x,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.8894,9ef72aa9-9c21-4d7f-a3ba-af42b473eac2,success,2026-07-22T11:03:33.604Z,0,,,,,,,,,,,,,,,,,,,,,
6a60a457d5bd876677e4329c,auth.login.success,6a60a17c20a2dec57e15dec5,admin@careerveda.com,super-admin,,,127.0.x.x,Mozilla/5.0 (Windows NT; Windows NT 10.0; en-IN) WindowsPowerShell/5.1.26100.8894,b9e1cf8c-6034-4ea6-8318-1e3d375d5619,success,2026-07-22T11:07:03.237Z,0,,,,,,,,,,,,,,,,,,,,,
6a60a516d5bd876677e432c7,auth.token.refreshed,6a60a17c20a2dec57e15dec5,admin@careerveda.com,super-admin,,,127.0.x.x,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",d4a428ed-1487-4e7a-abcc-27abffa40e4b,success,2026-07-22T11:10:14.841Z,0,,,,,,,,,,,,,,,,,,,,,
6a60a554d5bd876677e432e0,content.created,6a60a17c20a2dec57e15dec5,admin@careerveda.com,super-admin,programs,6a60a554d5bd876677e432de,127.0.x.x,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",acbf57f3-d460-4fcc-8570-27bf00c08cdc,success,2026-07-22T11:11:16.818Z,0,,,,,,,,,,Program,ojonsdjnfsnad,,,,,,,,,,
6a60a554d5bd876677e432e5,content.published,6a60a17c20a2dec57e15dec5,admin@careerveda.com,super-admin,programs,6a60a554d5bd876677e432de,127.0.x.x,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",10fbc1d4-afa5-4efc-b349-d431f81f558d,success,2026-07-22T11:11:16.979Z,0,,,,,,,,,,Program,ojonsdjnfsnad,published,,,,,,,,,
6a60a5a1d5bd876677e432fa,content.created,6a60a17c20a2dec57e15dec5,admin@careerveda.com,super-admin,alumni,6a60a5a1d5bd876677e432f8,127.0.x.x,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",d15b7a3c-a9b6-4a32-a54f-b3337ca19600,success,2026-07-22T11:12:33.178Z,0,,,,,,,,,,Alumni story,hello,,,,,,,,,,
6a60a5a1d5bd876677e432ff,content.published,6a60a17c20a2dec57e15dec5,admin@careerveda.com,super-admin,alumni,6a60a5a1d5bd876677e432f8,127.0.x.x,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",12f0742f-af75-491f-8fb9-57ac1859912e,success,2026-07-22T11:12:33.340Z,0,,,,,,,,,,Alumni story,hello,published,,,,,,,,,
6a60a5a8d5bd876677e4330b,auth.token.refreshed,6a60a17c20a2dec57e15dec5,admin@careerveda.com,super-admin,,,127.0.x.x,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/150.0.0.0 Safari/537.36",48358036-3d33-4f60-8601-2e3f27102762,success,2026-07-22T11:12:40.701Z,0,,,,,,,,,,,,,,,,,,,,,
