_id,title,company,location,workMode,employmentType,experienceLevel,description,skills[0],skills[1],skills[2],salaryRange,applicationUrl,applicationEmail,source,postedDate,deadline,slug,status,publishedAt,scheduledAt,featured,displayOrder,deletedAt,deletedBy,createdBy,updatedBy,revision,companyLogo.media,companyLogo.url,companyLogo.fileId,companyLogo.thumbnailUrl,companyLogo.alt,companyLogo.caption,companyLogo.width,companyLogo.height,seo.title,seo.description,seo.ogImage,seo.canonicalUrl,seo.noIndex,createdAt,updatedAt,__v,dedupeKey,rejectedReason,sourceJobId,fetchedAt
6a6061ed7bfcf05ac32c3ef2,Frontend Developer,TechWave Solutions,"Noida, Uttar Pradesh",On-site,Full-time,0–2 years,Build responsive and accessible user interfaces for ed-tech platforms.,React,JavaScript,CSS,₹4–7 LPA,https://www.linkedin.com/jobs/search/?keywords=Frontend+Developer&location=Noida%2C+Uttar+Pradesh,,LinkedIn Jobs,2026-07-13T00:00:00.000Z,,frontend-developer-techwave-solutions,published,2026-07-22T06:23:41.199Z,,true,0,,,,,7,,,,,,,,,,,,,false,2026-07-22T06:23:41.201Z,2026-08-04T08:18:40.642Z,0,,,,
6a6061ed7bfcf05ac32c3ef5,React Developer,CodeCraft Labs,"Bengaluru, Karnataka",Hybrid,Full-time,1–3 years,Develop and maintain component libraries for enterprise dashboards.,React,TypeScript,Redux,₹6–10 LPA,https://www.linkedin.com/jobs/search/?keywords=React+Developer&location=Bengaluru%2C+Karnataka,,LinkedIn Jobs,2026-07-12T00:00:00.000Z,,react-developer-codecraft-labs,published,2026-07-22T06:23:41.260Z,,true,1,,,,,7,,,,,,,,,,,,,false,2026-07-22T06:23:41.261Z,2026-08-04T08:18:40.707Z,0,,,,
6a6061ed7bfcf05ac32c3ef8,Backend Developer,DataForge Inc.,"Gurugram, Haryana",On-site,Full-time,1–3 years,Design and deploy RESTful APIs for high-traffic web applications.,Node.js,Express,PostgreSQL,₹5–9 LPA,https://www.linkedin.com/jobs/search/?keywords=Backend+Developer&location=Gurugram%2C+Haryana,,LinkedIn Jobs,2026-07-11T00:00:00.000Z,,backend-developer-dataforge-inc,published,2026-07-22T06:23:41.318Z,,false,2,,,,,7,,,,,,,,,,,,,false,2026-07-22T06:23:41.319Z,2026-08-04T08:18:40.768Z,0,,,,
6a6061ed7bfcf05ac32c3efb,Node.js Developer,CloudBase Systems,Remote,Remote,Full-time,2–4 years,Build scalable microservices for cloud-native products.,Node.js,AWS,MongoDB,₹8–14 LPA,https://www.linkedin.com/jobs/search/?keywords=Node.js+Developer&location=India&f_WT=2,,LinkedIn Jobs,2026-07-10T00:00:00.000Z,,node-js-developer-cloudbase-systems,published,2026-07-22T06:23:41.378Z,,true,3,,,,,7,,,,,,,,,,,,,false,2026-07-22T06:23:41.379Z,2026-08-04T08:18:40.823Z,0,,,,
6a6061ed7bfcf05ac32c3efe,Full-Stack Developer,NexGen EdTech,"Mumbai, Maharashtra",Hybrid,Full-time,2–5 years,Own end-to-end feature delivery across frontend and backend stacks.,React,Node.js,MongoDB,₹10–18 LPA,https://www.linkedin.com/jobs/search/?keywords=Full-Stack+Developer&location=Mumbai%2C+Maharashtra,,LinkedIn Jobs,2026-07-09T00:00:00.000Z,,full-stack-developer-nexgen-edtech,published,2026-07-22T06:23:41.441Z,,false,4,,,,,7,,,,,,,,,,,,,false,2026-07-22T06:23:41.442Z,2026-08-04T08:18:40.884Z,0,,,,
6a6061ed7bfcf05ac32c3f01,Data Analyst,InsightBox Analytics,"Bengaluru, Karnataka",On-site,Full-time,0–2 years,Analyze learner engagement data and generate actionable reports.,SQL,Python,Tableau,₹4–7 LPA,https://www.linkedin.com/jobs/search/?keywords=Data+Analyst&location=Bengaluru%2C+Karnataka,,LinkedIn Jobs,2026-07-08T00:00:00.000Z,,data-analyst-insightbox-analytics,published,2026-07-22T06:23:41.507Z,,true,5,,,,,7,,,,,,,,,,,,,false,2026-07-22T06:23:41.508Z,2026-08-04T08:18:40.946Z,0,,,,
6a6061ed7bfcf05ac32c3f04,Business Analyst,StrategyFirst Consulting,"Noida, Uttar Pradesh",Hybrid,Full-time,1–3 years,Bridge stakeholder requirements with technical delivery teams.,Excel,SQL,Power BI,₹5–9 LPA,https://www.linkedin.com/jobs/search/?keywords=Business+Analyst&location=Noida%2C+Uttar+Pradesh,,LinkedIn Jobs,2026-07-07T00:00:00.000Z,,business-analyst-strategyfirst-consulting,published,2026-07-22T06:23:41.568Z,,false,6,,,,,7,,,,,,,,,,,,,false,2026-07-22T06:23:41.568Z,2026-08-04T08:18:41.006Z,0,,,,
6a6061ed7bfcf05ac32c3f07,Data Scientist,AIMatrix Labs,"Hyderabad, Telangana",On-site,Full-time,2–5 years,Develop predictive models for personalized learning recommendations.,Python,Machine Learning,TensorFlow,₹12–22 LPA,https://www.linkedin.com/jobs/search/?keywords=Data+Scientist&location=Hyderabad%2C+Telangana,,LinkedIn Jobs,2026-07-06T00:00:00.000Z,,data-scientist-aimatrix-labs,published,2026-07-22T06:23:41.625Z,,true,7,,,,,7,,,,,,,,,,,,,false,2026-07-22T06:23:41.626Z,2026-08-04T08:18:41.068Z,0,,,,
6a6061ed7bfcf05ac32c3f0a,Machine Learning Engineer,NeuralStack AI,Remote,Remote,Full-time,2–4 years,Productionize ML models and build automated training pipelines.,Python,PyTorch,MLOps,₹14–25 LPA,https://www.linkedin.com/jobs/search/?keywords=Machine+Learning+Engineer&location=India&f_WT=2,,LinkedIn Jobs,2026-07-05T00:00:00.000Z,,machine-learning-engineer-neuralstack-ai,published,2026-07-22T06:23:41.684Z,,false,8,,,,,7,,,,,,,,,,,,,false,2026-07-22T06:23:41.685Z,2026-08-04T08:18:41.126Z,0,,,,
6a6061ed7bfcf05ac32c3f0d,AI Engineer,CogniVault Technologies,"Bengaluru, Karnataka",Hybrid,Full-time,2–5 years,Build AI-powered tutoring assistants using large language models.,LLMs,Python,RAG,₹15–28 LPA,https://www.linkedin.com/jobs/search/?keywords=AI+Engineer&location=Bengaluru%2C+Karnataka,,LinkedIn Jobs,2026-07-04T00:00:00.000Z,,ai-engineer-cognivault-technologies,published,2026-07-22T06:23:41.746Z,,true,9,,,,,7,,,,,,,,,,,,,false,2026-07-22T06:23:41.747Z,2026-08-04T08:18:41.188Z,0,,,,
